Tool-Name,Branche,Unternehmensgröße,Funktion/Zweck,Link/Website,Aufwand,Beispiel-Aufwand,Kurze Beschreibung,Kompatibilität/Integration,Logo,Copyright
Doctolib,Gesundheitswesen,alle,Online-Terminmanagement,https://www.doctolib.de,1,Registrierung, Integration,Automatisierte Terminvergabe,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Infermedica,Gesundheitswesen,alle,KI-Patienten-Check,https://infermedica.com,2,Implementierung, Onboarding,KI-Anamnese & Triage,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Planerio,Gesundheitswesen,alle,Schichtplanung,https://www.planerio.de,2,Import Mitarbeiter, Einrichtung,Einsatzplanung für Praxen,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Amboss,Gesundheitswesen,alle,KI-gestütztes Nachschlagewerk,https://amboss.com,1,Account, direkt nutzen,Medizinische Entscheidungsunterstützung,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
CureBot,Gesundheitswesen,KMU,KI-Chatbot für Praxen,https://curebot.de,2,Einrichtung, Trainingsphase,Patientenfragen KI-gestützt beantworten,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Capmo,Bauwesen,KMU,KI-Baustellenmanagement,https://www.capmo.de,2,Registrierung, Onboarding,Digitale Baudokumentation,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
PlanRadar,Bauwesen,alle,Baumängel & Dokumentation,https://www.planradar.com,2,Anlegen, Dokumentieren,KI-gestützte Mängelerfassung,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
BauMaster,Bauwesen,KMU,Projektplanung,https://www.baumaster.com,2,Import Projekte, Einrichtung,Digitalisierte Projektsteuerung,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
DocuWare,Bauwesen,alle,Dokumentenmanagement,https://www.docuware.com,2,Einrichtung, Integration,Digitale Akte & Archiv,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
OpenAI-Tabellen,Bauwesen,KMU,Kalkulation & Angebot,https://platform.openai.com,2,Einarbeitung, Vorlage laden,KI-gestützte Angebotskalkulation,Web/CSV,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Shopify,Handel & E-Commerce,alle,Onlineshop-Plattform,https://shopify.de,1,Account, Shop anlegen,Webshop mit KI-Funktionen,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Algolia,Handel & E-Commerce,alle,Produktsuche & Empfehlungen,https://algolia.com,2,Account, Integration,Personalisierte Produktempfehlungen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Epoq,Handel & E-Commerce,KMU,Recommendation Engine,https://www.epoq.de,2,Setup, Anpassung,Personalisierte Empfehlungen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Billbee,Handel & E-Commerce,KMU,Multichannel-Order-Management,https://billbee.io,2,Account, Import,Automatisierung von Bestellungen,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
parcelLab,Handel & E-Commerce,KMU,KI-Versandkommunikation,https://parcellab.com,2,Integration, Einrichtung,Kundenkommunikation Versand,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

MindSphere,Industrie/Produktion,KMU,Predictive Maintenance,https://siemens.mindsphere.io,4,Einrichtung, Partner,KI-basierte Wartung & Prognosen,Cloud,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Dataiku,Industrie/Produktion,KMU,Prozessanalyse,https://dataiku.com,3,Einrichtung, Datenimport,KI-getriebene Prozessoptimierung,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
FactoryCube,Industrie/Produktion,KMU,Produktionsdatenerfassung,https://factorycube.io,2,Setup, Einweisung,Maschinendaten mit KI auswerten,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Senseforce,Industrie/Produktion,KMU,Datenvisualisierung,https://senseforce.io,2,Account, Integration,Dashboards für Produktion,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Tableau,Industrie/Produktion,alle,Dashboards & Analyse,https://tableau.com,2,Datenimport, Schulung,Visualisierung Produktionsdaten,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

DATEV,Finanzen & Versicherungen,alle,Buchhaltung & Steuer,https://www.datev.de,1,Account, Datenimport,Buchhaltung digitalisieren,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
finAPI,Finanzen & Versicherungen,alle,Finanzdatenanalyse,https://finapi.io,2,Integration, API-Key,KI-Analyse von Zahlungsströmen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
DataGuard,Finanzen & Versicherungen,alle,Datenschutzmanagement,https://dataguard.de,3,Registrierung, Setup,DSGVO-Compliance,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Priverion,Finanzen & Versicherungen,KMU,Datenschutzmanagement,https://priverion.com,3,Onboarding, Einrichtung,Datenschutz-Dokumente managen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Personetics,Finanzen & Versicherungen,KMU,KI-Kundenberatung,https://personetics.com,3,Integration, Onboarding,KI-gestützte Finanzberatung,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Sdui,Bildung,alle,Lernplattform,https://sdui.de,1,Account, Einführung,KI-gestützte Lernpfade,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Knewton,Bildung,alle,KI-Adaptive Learning,https://knewton.com,2,Registrierung, Setup,Individuelle Lernwege,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Coursera,Bildung,alle,Online-Kurse & Zertifikate,https://coursera.org,1,Account, Kurs wählen,Kurse & KI-Fortbildung,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Quizlet,Bildung,alle,KI-Lernkarten,https://quizlet.com,1,Registrierung, sofort,KI-gestütztes Lernen,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Examio,Bildung,KMU,Prüfungsautomatisierung,https://examio.com,2,Integration, Einrichtung,KI-basierte Prüfungsaufgaben,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt

Zapier,Sonstige,alle,Automatisierung,https://zapier.com,2,Account, erster Workflow,Allgemeine Automatisierungen,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Notion,Sonstige,alle,Wissensmanagement,https://notion.so,1,Registrierung, sofort nutzbar,Allgemeines Wissensmanagement,Web/App,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
OpenAI GPT,Sonstige,alle,KI-Text & Analyse,https://chat.openai.com,1,Account, sofort nutzbar,Texte, Recherche, FAQ,Online,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Google Forms,Sonstige,alle,Umfragen & Feedback,https://forms.google.com,1,Account, Vorlage wählen,Feedback & Datenerhebung,Web,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
Power Automate,Sonstige,alle,Prozessautomatisierung,https://powerautomate.microsoft.com,2,Account, erster Flow,Automatisierte Prozesse,Web/API,https://ki-sicherheit.jetzt/logo/ki-sicherheit-logo.png,© KI-Sicherheit.jetzt
